Category,Gila
Total_doses_administered,49826
Total_people_one_dose,27560
Total_people_complete,24849
Total_doses_ordered,36470
total_pouluation,55159
Male-65 years and older,5739
Male-55-64 years,2535
Male-45-54 years,1519
Male-20-44 years,2924
Male-Less than 20 years,527
Female-65 years and older,6092
Female-55-64 years,2854
Female-45-54 years,1635
Female-20-44 years,3034
Female-Less than 20 years,641
"Black or African American, non-Hispanic",91
"Asian or Pacific Islander, non-Hispanic",250
Hispanic or Latino,1210
Other Race,4671
Unknown,5212
"American Indian or Alaska Native, non-Hispanic",5222
"White, non-Hispanic",10904
