Category,Greenlee
Total_doses_administered,8292
Total_people_one_dose,4698
Total_people_complete,4181
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,540
Male-55-64 years,587
Male-45-54 years,482
Male-20-44 years,988
Male-Less than 20 years,46
Female-65 years and older,517
Female-55-64 years,405
Female-45-54 years,363
Female-20-44 years,724
Female-Less than 20 years,44
"Black or African American, non-Hispanic",44
"Asian or Pacific Islander, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",83
Other Race,126
Unknown,373
"White, non-Hispanic",1944
Hispanic or Latino,2080
