Category,Apache
Total_doses_administered,22883
Total_people_one_dose,12805
Total_people_complete,11134
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1693
Male-55-64 years,890
Male-45-54 years,579
Male-20-44 years,1063
Male-Less than 20 years,2052
Female-65 years and older,1734
Female-55-64 years,1009
Female-45-54 years,626
Female-20-44 years,993
Female-Less than 20 years,2157
"Asian or Pacific Islander, non-Hispanic",147
"Black or African American, non-Hispanic",228
Unknown,938
Other Race,945
Hispanic or Latino,1483
"White, non-Hispanic",2935
"American Indian or Alaska Native, non-Hispanic",6129
