Category,Maricopa
Total_doses_administered,2794602
Total_people_one_dose,1578468
Total_people_complete,1395754
Total_doses_ordered,1535817
total_pouluation,4367835
Male-65 years and older,174235
Male-55-64 years,119251
Male-45-54 years,114390
Male-20-44 years,256969
Male-Less than 20 years,60923
Female-65 years and older,226505
Female-55-64 years,138909
Female-45-54 years,128585
Female-20-44 years,282288
Female-Less than 20 years,64680
"American Indian or Alaska Native, non-Hispanic",34045
"Black or African American, non-Hispanic",58969
"Asian or Pacific Islander, non-Hispanic",76565
Unknown,154651
Other Race,245761
Hispanic or Latino,268271
"White, non-Hispanic",740206
