Category,Pinal
Total_doses_administered,292814
Total_people_one_dose,165673
Total_people_complete,149172
Total_doses_ordered,196665
total_pouluation,455210
Male-65 years and older,29216
Male-55-64 years,13043
Male-45-54 years,11682
Male-20-44 years,25569
Male-Less than 20 years,4217
Female-65 years and older,33556
Female-55-64 years,14036
Female-45-54 years,10500
Female-20-44 years,18851
Female-Less than 20 years,4412
"Asian or Pacific Islander, non-Hispanic",3047
"Black or African American, non-Hispanic",4439
"American Indian or Alaska Native, non-Hispanic",7896
Other Race,17787
Hispanic or Latino,25075
Unknown,33945
"White, non-Hispanic",73484
