Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,6741560,22883,144499,113822,19904,8292,49826,17156,2794602,146781,62083,292814,890380,65224,181910,196737
Total_people_complete,3313153,11134,71785,56760,10034,4181,24849,8491,1395754,70449,30343,149172,448821,33037,88097,95894
Total_doses_ordered,5222530,16600,95930,87630,18520,9800,36470,18600,1535817,124750,40790,196665,604413,48042,165060,139268
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,3694095,12805,78663,63700,10885,4698,27560,9367,1578468,83717,34662,165673,497830,35862,103542,110642
Male-65 years and older,504849,1693,7484,10421,1603,540,5739,3087,174235,20814,6132,29216,71333,3532,23378,15562
Male-55-64 years,285313,890,5835,5018,939,587,2535,676,119251,7924,2801,13043,35182,2536,8120,8424
Male-45-54 years,241601,579,5169,3545,794,482,1519,301,114390,3931,1916,11682,29730,2882,4566,7272
Male-20-44 years,557865,1063,15518,8927,1860,988,2924,475,256969,6380,3888,25569,71054,6960,8751,20447
Male-Less than 20 years,129822,2052,2598,2070,213,46,527,114,60923,910,2461,4217,16038,2005,1638,3481
Female-65 years and older,623284,1734,8577,12355,2017,517,6092,2980,226505,23219,6597,33556,94169,4272,29167,17642
Female-55-64 years,331036,1009,6581,6022,1065,405,2854,834,138909,9294,3089,14036,43979,2581,10477,8939
Female-45-54 years,267417,626,5392,4131,711,363,1635,337,128585,4149,1954,10500,35523,2736,5359,7524
Female-20-44 years,593615,993,18056,8948,1405,724,3034,433,282288,5893,3222,18851,82449,6278,8933,17234
Female-Less than 20 years,140010,2157,3378,2174,267,44,641,116,64680,1055,2570,4412,17452,2013,1843,3798
"Black or African American, non-Hispanic",97512,228,551,1173,66,44,91,26,58969,559,194,4439,9359,28,497,598
"American Indian or Alaska Native, non-Hispanic",99681,6129,16177,306,874,83,5222,169,34045,828,9517,7896,10148,16,1024,1436
"Asian or Pacific Islander, non-Hispanic",142843,147,1163,1245,56,48,250,69,76565,1208,353,3047,12705,92,1343,664
Unknown,400915,938,16538,8327,3590,373,5212,2563,154651,14372,1826,33945,82395,2251,26517,32388
Hispanic or Latino,583751,1483,5242,14877,1774,2080,1210,950,268271,5490,1957,25075,111554,26869,6049,45440
Other Race,635255,945,9171,9892,861,126,4671,1060,245761,15278,7535,17787,63174,1965,16003,9942
"White, non-Hispanic",1734138,2935,29821,27880,3664,1944,10904,4530,740206,45982,13280,73484,208495,4641,52109,20174
