Category,Mohave
Total_doses_administered,146781
Total_people_one_dose,83717
Total_people_complete,70449
Total_doses_ordered,124750
total_pouluation,216985
Male-65 years and older,20814
Male-55-64 years,7924
Male-45-54 years,3931
Male-20-44 years,6380
Male-Less than 20 years,910
Female-65 years and older,23219
Female-55-64 years,9294
Female-45-54 years,4149
Female-20-44 years,5893
Female-Less than 20 years,1055
"Black or African American, non-Hispanic",559
"American Indian or Alaska Native, non-Hispanic",828
"Asian or Pacific Islander, non-Hispanic",1208
Hispanic or Latino,5490
Unknown,14372
Other Race,15278
"White, non-Hispanic",45982
