,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,1541514,16667,93695,126969,45452,17405,7981,15698,2070542,121094,45815,740927,232981,50745,163889,158948
Total_people_one_dose,3117223,843138,9524,53547,69568,25299,9647,4522,8764,1225614,70785,26888,421614,135027,29131,94445,89710
Total_people_complete,2594550,,,,,,,,,,,,,,,,
Total_doses_ordered,5121400,,,,,,,,,,,,,,,,
65 years and older,590093,,,,,,,,,,,,,,,,
55-64 years,303325,,,,,,,,,,,,,,,,
45-54 years,229962,,,,,,,,,,,,,,,,
20-44 years,488053,,,,,,,,,,,,,,,,
Less than 20 years,62012,,,,,,,,,,,,,,,,
65 years and older,421614,,,,,,,,,,,,,,,,
55-64 years,255596,,,,,,,,,,,,,,,,
45-54 years,203149,,,,,,,,,,,,,,,,
20-44 years,445267,,,,,,,,,,,,,,,,
Less than 20 years,54355,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",72194,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",75403,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",116046,,,,,,,,,,,,,,,,
Hispanic or Latino,415974,,,,,,,,,,,,,,,,
Unknown,423864,,,,,,,,,,,,,,,,
Other Race,526269,,,,,,,,,,,,,,,,
"White, non-Hispanic",1487473,,,,,,,,,,,,,,,,
