Category,Coconino
Total_doses_administered,126969
Total_people_one_dose,69568
Total_people_complete,61370
Total_doses_ordered,95362
total_pouluation,147275
Male-65 years and older,6968
Male-55-64 years,5289
Male-45-54 years,4615
Male-20-44 years,13552
Male-Less than 20 years,1548
Female-65 years and older,8051
Female-55-64 years,6128
Female-45-54 years,4946
Female-20-44 years,16105
Female-Less than 20 years,2320
"Black or African American, non-Hispanic",0.0063534958601656
"Asian or Pacific Islander, non-Hispanic",0.0131957221711132
Hispanic or Latino,0.0576558187672493
Other Race,0.110021849126035
"American Indian or Alaska Native, non-Hispanic",0.1908923643054278
Unknown,0.2442071067157314
"White, non-Hispanic",0.3776736430542778
