Category,Yuma
Total_doses_administered,358920
Total_people_one_dose,174623
Total_people_complete,140880
total_pouluation,174623
Male-65 years and older,18172
Male-55-64 years,11339
Male-45-54 years,9878
Male-20-44 years,30965
Male-Less than 20 years,15258
Female-65 years and older,20747
Female-55-64 years,12140
Female-45-54 years,10834
Female-20-44 years,28897
Female-Less than 20 years,15684
"Black or African American, non-Hispanic",918
"American Indian or Alaska Native, non-Hispanic",1268
"Asian or Pacific Islander, non-Hispanic",1288
Other Race,21358
Unknown,30980
"White, non-Hispanic",37974
Hispanic or Latino,80837
