Category,Navajo
Total_doses_administered,121380
Total_people_one_dose,55621
Total_people_complete,47358
total_pouluation,55621
Male-65 years and older,7783
Male-55-64 years,3929
Male-45-54 years,3012
Male-20-44 years,6856
Male-Less than 20 years,5466
Female-65 years and older,8819
Female-55-64 years,4452
Female-45-54 years,3042
Female-20-44 years,6715
Female-Less than 20 years,5509
"Black or African American, non-Hispanic",231
"Asian or Pacific Islander, non-Hispanic",420
Unknown,2610
Hispanic or Latino,2843
Other Race,6536
"White, non-Hispanic",16689
"American Indian or Alaska Native, non-Hispanic",26292
