Category,Arizona
Total_doses_administered,10896869
Total_people_complete,4256735
total_pouluation,7189020
Total_people_one_dose,4984970
Male-65 years and older,594753
Male-55-64 years,344918
Male-45-54 years,313372
Male-20-44 years,791694
Male-Less than 20 years,319218
Female-65 years and older,721413
Female-55-64 years,391687
Female-45-54 years,337170
Female-20-44 years,827251
Female-Less than 20 years,323642
"Black or African American, non-Hispanic",153904
"Asian or Pacific Islander, non-Hispanic",191551
"American Indian or Alaska Native, non-Hispanic",224891
Unknown,449002
Other Race,694620
Hispanic or Latino,977785
"White, non-Hispanic",2293217
