Category,Apache
Total_doses_administered,78965
Total_people_one_dose,35065
Total_people_complete,30167
total_pouluation,35065
Male-65 years and older,3137
Male-55-64 years,2344
Male-45-54 years,1916
Male-20-44 years,4848
Male-Less than 20 years,4814
Female-65 years and older,3808
Female-55-64 years,2550
Female-45-54 years,1967
Female-20-44 years,4753
Female-Less than 20 years,4917
"Black or African American, non-Hispanic",71
"Asian or Pacific Islander, non-Hispanic",166
Hispanic or Latino,666
Unknown,1233
Other Race,1250
"White, non-Hispanic",3937
"American Indian or Alaska Native, non-Hispanic",27742
