Category,Coconino
Total_doses_administered,215445
Total_people_one_dose,94394
Total_people_complete,83726
total_pouluation,94394
Male-65 years and older,8487
Male-55-64 years,6060
Male-45-54 years,5809
Male-20-44 years,17650
Male-Less than 20 years,6941
Female-65 years and older,9495
Female-55-64 years,6747
Female-45-54 years,5779
Female-20-44 years,20130
Female-Less than 20 years,7116
"Black or African American, non-Hispanic",831
"Asian or Pacific Islander, non-Hispanic",1741
Hispanic or Latino,7713
Other Race,8092
Unknown,11298
"American Indian or Alaska Native, non-Hispanic",24228
"White, non-Hispanic",40491
