Category,Mohave
Total_doses_administered,204038
Total_people_one_dose,95206
Total_people_complete,80616
total_pouluation,95206
Male-65 years and older,21978
Male-55-64 years,8586
Male-45-54 years,4526
Male-20-44 years,8104
Male-Less than 20 years,2106
Female-65 years and older,23993
Female-55-64 years,9945
Female-45-54 years,5068
Female-20-44 years,8384
Female-Less than 20 years,2334
"Black or African American, non-Hispanic",677
"American Indian or Alaska Native, non-Hispanic",796
"Asian or Pacific Islander, non-Hispanic",1482
Hispanic or Latino,7966
Unknown,11734
Other Race,14887
"White, non-Hispanic",57664
