Category,Santa Cruz
Total_doses_administered,132925
Total_people_one_dose,67167
Total_people_complete,50904
total_pouluation,67167
Male-65 years and older,4836
Male-55-64 years,3572
Male-45-54 years,3857
Male-20-44 years,10200
Male-Less than 20 years,9751
Female-65 years and older,5906
Female-55-64 years,4032
Female-45-54 years,4284
Female-20-44 years,10981
Female-Less than 20 years,9619
"American Indian or Alaska Native, non-Hispanic",55
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3688
Unknown,7102
"White, non-Hispanic",7694
Hispanic or Latino,48378
