Category,La Paz
Total_doses_administered,19232
Total_people_one_dose,9360
Total_people_complete,7805
total_pouluation,9360
Male-65 years and older,2531
Male-55-64 years,656
Male-45-54 years,337
Male-20-44 years,719
Male-Less than 20 years,419
Female-65 years and older,2506
Female-55-64 years,766
Female-45-54 years,389
Female-20-44 years,632
Female-Less than 20 years,387
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",568
Other Race,1216
Hispanic or Latino,1418
Unknown,1946
"White, non-Hispanic",4078
