Category,Maricopa
Total_doses_administered,6345176
Total_people_one_dose,2843011
Total_people_complete,2506520
total_pouluation,2843011
Male-65 years and older,299985
Male-55-64 years,198050
Male-45-54 years,193884
Male-20-44 years,469411
Male-Less than 20 years,179557
Female-65 years and older,374169
Female-55-64 years,221890
Female-45-54 years,209479
Female-20-44 years,501550
Female-Less than 20 years,180789
"American Indian or Alaska Native, non-Hispanic",55983
"Black or African American, non-Hispanic",112886
"Asian or Pacific Islander, non-Hispanic",145119
Unknown,192872
Other Race,445925
Hispanic or Latino,501714
"White, non-Hispanic",1388512
