Category,Apache
Total_doses_administered,61857
Total_people_one_dose,29641
Total_people_complete,22771
total_pouluation,29641
Male-65 years and older,2806
Male-55-64 years,2047
Male-45-54 years,1644
Male-20-44 years,3924
Male-Less than 20 years,4082
Female-65 years and older,3378
Female-55-64 years,2193
Female-45-54 years,1609
Female-20-44 years,3801
Female-Less than 20 years,4149
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,575
Unknown,1136
Other Race,1152
"White, non-Hispanic",3672
"American Indian or Alaska Native, non-Hispanic",22911
