Category,Cochise
Total_doses_administered,166348
Total_people_one_dose,82112
Total_people_complete,67287
total_pouluation,82112
Male-65 years and older,11344
Male-55-64 years,5598
Male-45-54 years,4372
Male-20-44 years,11741
Male-Less than 20 years,5641
Female-65 years and older,13284
Female-55-64 years,6628
Female-45-54 years,4915
Female-20-44 years,12455
Female-Less than 20 years,6033
"American Indian or Alaska Native, non-Hispanic",362
"Asian or Pacific Islander, non-Hispanic",1488
"Black or African American, non-Hispanic",1594
Unknown,9826
Other Race,11964
Hispanic or Latino,23544
"White, non-Hispanic",33334
