Category,Yavapai
Total_doses_administered,249352
Total_people_one_dose,118186
Total_people_complete,99340
total_pouluation,118186
Male-65 years and older,26069
Male-55-64 years,9260
Male-45-54 years,5103
Male-20-44 years,10322
Male-Less than 20 years,2984
Female-65 years and older,31729
Female-55-64 years,11671
Female-45-54 years,6056
Female-20-44 years,10579
Female-Less than 20 years,3262
"Black or African American, non-Hispanic",575
"American Indian or Alaska Native, non-Hispanic",1441
"Asian or Pacific Islander, non-Hispanic",1456
Hispanic or Latino,8229
Other Race,17345
Unknown,18799
"White, non-Hispanic",70341
