Category,Graham
Total_doses_administered,44583
Total_people_one_dose,21322
Total_people_complete,18627
total_pouluation,21322
Male-65 years and older,2411
Male-55-64 years,1591
Male-45-54 years,1452
Male-20-44 years,3606
Male-Less than 20 years,1199
Female-65 years and older,2922
Female-55-64 years,1734
Female-45-54 years,1424
Female-20-44 years,3651
Female-Less than 20 years,1320
"Asian or Pacific Islander, non-Hispanic",85
"Black or African American, non-Hispanic",93
Other Race,1303
Hispanic or Latino,3851
Unknown,4127
"American Indian or Alaska Native, non-Hispanic",5352
"White, non-Hispanic",6511
