Category,Maricopa
Total_doses_administered,5664147
Total_people_one_dose,2667752
Total_people_complete,2311203
total_pouluation,2667752
Male-65 years and older,287328
Male-55-64 years,189764
Male-45-54 years,184203
Male-20-44 years,441556
Male-Less than 20 years,151571
Female-65 years and older,358858
Female-55-64 years,213310
Female-45-54 years,199500
Female-20-44 years,472613
Female-Less than 20 years,154567
"American Indian or Alaska Native, non-Hispanic",52263
"Black or African American, non-Hispanic",103506
"Asian or Pacific Islander, non-Hispanic",135337
Unknown,180142
Other Race,429760
Hispanic or Latino,450493
"White, non-Hispanic",1316251
