Category,Arizona
Total_doses_administered,9791050
Total_people_complete,3950778
total_pouluation,7189020
Total_people_one_dose,4688874
Male-65 years and older,571146
Male-55-64 years,332201
Male-45-54 years,299766
Male-20-44 years,745579
Male-Less than 20 years,269882
Female-65 years and older,694335
Female-55-64 years,377580
Female-45-54 years,322599
Female-20-44 years,779310
Female-Less than 20 years,276500
"Black or African American, non-Hispanic",141786
"Asian or Pacific Islander, non-Hispanic",179157
"American Indian or Alaska Native, non-Hispanic",201902
Unknown,428881
Other Race,670327
Hispanic or Latino,875343
"White, non-Hispanic",2191478
