Category,Santa Cruz
Total_doses_administered,110382
Total_people_one_dose,56911
Total_people_complete,44474
total_pouluation,56911
Male-65 years and older,4755
Male-55-64 years,3295
Male-45-54 years,3461
Male-20-44 years,9141
Male-Less than 20 years,6560
Female-65 years and older,5753
Female-55-64 years,3627
Female-45-54 years,3754
Female-20-44 years,9570
Female-Less than 20 years,6910
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3539
Unknown,3903
"White, non-Hispanic",7626
Hispanic or Latino,41540
