Category,Greenlee
Total_doses_administered,9550
Total_people_one_dose,4407
Total_people_complete,3804
total_pouluation,4407
Male-65 years and older,516
Male-55-64 years,373
Male-45-54 years,328
Male-20-44 years,795
Male-Less than 20 years,230
Female-65 years and older,517
Female-55-64 years,319
Female-45-54 years,328
Female-20-44 years,764
Female-Less than 20 years,235
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",53
Other Race,90
"American Indian or Alaska Native, non-Hispanic",123
Unknown,315
"White, non-Hispanic",1793
Hispanic or Latino,1990
