Category,Coconino
Total_doses_administered,207103
Total_people_one_dose,95402
Total_people_complete,82025
total_pouluation,95402
Male-65 years and older,9470
Male-55-64 years,6395
Male-45-54 years,5847
Male-20-44 years,17298
Male-Less than 20 years,6259
Female-65 years and older,10655
Female-55-64 years,7159
Female-45-54 years,5896
Female-20-44 years,19674
Female-Less than 20 years,6476
"Black or African American, non-Hispanic",790
"Asian or Pacific Islander, non-Hispanic",1661
Hispanic or Latino,7260
Other Race,8706
Unknown,12626
"American Indian or Alaska Native, non-Hispanic",22828
"White, non-Hispanic",41531
