Category,Santa Cruz
Total_doses_administered,68987
Total_people_one_dose,38660
Total_people_complete,34683
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3593
Male-55-64 years,2621
Male-45-54 years,3014
Male-20-44 years,7560
Male-Less than 20 years,2452
Female-65 years and older,4345
Female-55-64 years,2668
Female-45-54 years,2877
Female-20-44 years,6984
Female-Less than 20 years,2477
"American Indian or Alaska Native, non-Hispanic",17
"Black or African American, non-Hispanic",34
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2017
Unknown,2342
"White, non-Hispanic",4778
Hispanic or Latino,29374
