Category,Apache
Total_doses_administered,32118
Total_people_one_dose,18083
Total_people_complete,11768
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1919
Male-55-64 years,1278
Male-45-54 years,988
Male-20-44 years,2376
Male-Less than 20 years,2437
Female-65 years and older,2022
Female-55-64 years,1393
Female-45-54 years,978
Female-20-44 years,2157
Female-Less than 20 years,2525
"Asian or Pacific Islander, non-Hispanic",163
"Black or African American, non-Hispanic",275
Unknown,1004
Other Race,1217
Hispanic or Latino,1776
"White, non-Hispanic",3147
"American Indian or Alaska Native, non-Hispanic",10501
