Category,Navajo
Total_doses_administered,74896
Total_people_one_dose,42164
Total_people_complete,36005
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6816
Male-55-64 years,3523
Male-45-54 years,2490
Male-20-44 years,5248
Male-Less than 20 years,2797
Female-65 years and older,7488
Female-55-64 years,3776
Female-45-54 years,2509
Female-20-44 years,4585
Female-Less than 20 years,2898
"Black or African American, non-Hispanic",219
"Asian or Pacific Islander, non-Hispanic",403
Unknown,2145
Hispanic or Latino,2194
Other Race,8150
"White, non-Hispanic",14144
"American Indian or Alaska Native, non-Hispanic",14909
