Category,Yavapai
Total_doses_administered,188308
Total_people_one_dose,108110
Total_people_complete,90423
Total_doses_ordered,168620
total_pouluation,232386
Male-65 years and older,23875
Male-55-64 years,8453
Male-45-54 years,4892
Male-20-44 years,9491
Male-Less than 20 years,1935
Female-65 years and older,29831
Female-55-64 years,10813
Female-45-54 years,5697
Female-20-44 years,9635
Female-Less than 20 years,2178
"Black or African American, non-Hispanic",551
"American Indian or Alaska Native, non-Hispanic",1069
"Asian or Pacific Islander, non-Hispanic",1411
Hispanic or Latino,6704
Other Race,16536
Unknown,27274
"White, non-Hispanic",54565
