Category,Maricopa
Total_doses_administered,2992690
Total_people_one_dose,1713952
Total_people_complete,1470350
Total_doses_ordered,1598808
total_pouluation,4367835
Male-65 years and older,179711
Male-55-64 years,126050
Male-45-54 years,124423
Male-20-44 years,286707
Male-Less than 20 years,77077
Female-65 years and older,233118
Female-55-64 years,145422
Female-45-54 years,138408
Female-20-44 years,311481
Female-Less than 20 years,79773
"American Indian or Alaska Native, non-Hispanic",36249
"Black or African American, non-Hispanic",65809
"Asian or Pacific Islander, non-Hispanic",80556
Unknown,169904
Other Race,262506
Hispanic or Latino,309381
"White, non-Hispanic",789547
