Category,Mohave
Total_doses_administered,154081
Total_people_one_dose,88772
Total_people_complete,73051
Total_doses_ordered,128270
total_pouluation,216985
Male-65 years and older,21491
Male-55-64 years,8395
Male-45-54 years,4286
Male-20-44 years,7100
Male-Less than 20 years,1188
Female-65 years and older,23963
Female-55-64 years,9765
Female-45-54 years,4531
Female-20-44 years,6568
Female-Less than 20 years,1328
"Black or African American, non-Hispanic",608
"American Indian or Alaska Native, non-Hispanic",901
"Asian or Pacific Islander, non-Hispanic",1276
Hispanic or Latino,6197
Unknown,15103
Other Race,15837
"White, non-Hispanic",48850
