Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7106994,32118,149468,119439,21125,8487,51834,17584,2992690,154081,74896,309891,934167,68987,188308,210504
Total_people_complete,3436174,11768,73700,58972,10438,4243,25503,8633,1470350,73051,36005,156031,465542,34683,90423,101304
Total_doses_ordered,5275110,16600,97508,89070,19700,10040,36740,19050,1598808,128270,41410,197908,617012,49212,168620,144368
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,3914715,18083,82224,67334,11794,4834,28991,9682,1713952,88772,42164,177684,526468,38660,108110,119830
Male-65 years and older,516048,1919,7689,10691,1647,552,5870,3126,179711,21491,6816,29836,72650,3593,23875,15900
Male-55-64 years,296793,1278,5994,5159,986,600,2631,694,126050,8395,3523,13691,36531,2621,8453,8842
Male-45-54 years,257229,988,5415,3748,863,487,1611,320,124423,4286,2490,12630,31441,3014,4892,7771
Male-20-44 years,604929,2376,16282,9625,2010,1030,3132,524,286707,7100,5248,28602,76732,7560,9491,22403
Male-Less than 20 years,155419,2437,3107,2575,340,55,721,143,77077,1188,2797,5426,20185,2452,1935,4820
Female-65 years and older,636633,2022,8795,12642,2072,528,6227,3032,233118,23963,7488,34200,95768,4345,29831,17987
Female-55-64 years,341883,1393,6728,6204,1123,414,2918,849,145422,9765,3776,14610,45201,2668,10813,9286
Female-45-54 years,282488,978,5542,4316,771,367,1711,352,138408,4531,2509,11385,37175,2877,5697,8026
Female-20-44 years,639755,2157,18774,9641,1577,752,3251,462,311481,6568,4585,21214,88460,6984,9635,19283
Female-Less than 20 years,164114,2525,3818,2641,394,46,858,160,79773,1328,2898,5498,21388,2477,2178,5149
"Black or African American, non-Hispanic",106159,275,591,1255,70,46,95,30,65809,608,219,5030,10192,34,551,670
"American Indian or Alaska Native, non-Hispanic",115068,10501,17148,319,984,84,5765,200,36249,901,14909,8560,10986,17,1069,1565
"Asian or Pacific Islander, non-Hispanic",148016,163,1222,1296,62,49,258,73,80556,1276,403,3211,13330,98,1411,718
Unknown,424229,1004,16923,9029,3793,390,5421,2639,169904,15103,2145,35813,84036,2342,27274,33418
Hispanic or Latino,652432,1776,5745,16296,1939,2128,1312,1008,309381,6197,2194,27967,123586,29374,6704,51376
Other Race,660426,1217,9508,10206,911,131,4821,1103,262506,15837,8150,18985,66513,2017,16536,10548
"White, non-Hispanic",1808385,3147,31087,28933,4035,2006,11319,4629,789547,48850,14144,78118,217825,4778,54565,21535
