Category,Coconino
Total_doses_administered,149468
Total_people_one_dose,82224
Total_people_complete,73700
Total_doses_ordered,97508
total_pouluation,147275
Male-65 years and older,7689
Male-55-64 years,5994
Male-45-54 years,5415
Male-20-44 years,16282
Male-Less than 20 years,3107
Female-65 years and older,8795
Female-55-64 years,6728
Female-45-54 years,5542
Female-20-44 years,18774
Female-Less than 20 years,3818
"Black or African American, non-Hispanic",591
"Asian or Pacific Islander, non-Hispanic",1222
Hispanic or Latino,5745
Other Race,9508
Unknown,16923
"American Indian or Alaska Native, non-Hispanic",17148
"White, non-Hispanic",31087
