Category,Maricopa
Total_doses_administered,3113076
Total_people_one_dose,1778333
Total_people_complete,1532948
Total_doses_ordered,1638900
total_pouluation,4367835
Male-65 years and older,183365
Male-55-64 years,129119
Male-45-54 years,128944
Male-20-44 years,300819
Male-Less than 20 years,83539
Female-65 years and older,237361
Female-55-64 years,148687
Female-45-54 years,142727
Female-20-44 years,326155
Female-Less than 20 years,85798
"American Indian or Alaska Native, non-Hispanic",37613
"Black or African American, non-Hispanic",68846
"Asian or Pacific Islander, non-Hispanic",82430
Unknown,174459
Other Race,273156
Hispanic or Latino,326903
"White, non-Hispanic",814926
