Category,Mohave
Total_doses_administered,157994
Total_people_one_dose,90819
Total_people_complete,75047
Total_doses_ordered,133040
total_pouluation,216985
Male-65 years and older,21740
Male-55-64 years,8548
Male-45-54 years,4429
Male-20-44 years,7396
Male-Less than 20 years,1331
Female-65 years and older,24242
Female-55-64 years,9943
Female-45-54 years,4694
Female-20-44 years,6901
Female-Less than 20 years,1437
"Black or African American, non-Hispanic",628
"American Indian or Alaska Native, non-Hispanic",941
"Asian or Pacific Islander, non-Hispanic",1311
Hispanic or Latino,6513
Unknown,15246
Other Race,16066
"White, non-Hispanic",50114
