Category,Navajo
Total_doses_administered,77826
Total_people_one_dose,43893
Total_people_complete,37214
Total_doses_ordered,41810
total_pouluation,112825
Male-65 years and older,6993
Male-55-64 years,3630
Male-45-54 years,2567
Male-20-44 years,5410
Male-Less than 20 years,3092
Female-65 years and older,7678
Female-55-64 years,3889
Female-45-54 years,2593
Female-20-44 years,4783
Female-Less than 20 years,3224
"Black or African American, non-Hispanic",227
"Asian or Pacific Islander, non-Hispanic",420
Unknown,2226
Hispanic or Latino,2275
Other Race,8394
"White, non-Hispanic",14763
"American Indian or Alaska Native, non-Hispanic",15588
