Category,Cochise
Total_doses_administered,122421
Total_people_one_dose,68844
Total_people_complete,60383
Total_doses_ordered,90850
total_pouluation,130808
Male-65 years and older,10796
Male-55-64 years,5216
Male-45-54 years,3837
Male-20-44 years,9898
Male-Less than 20 years,2768
Female-65 years and older,12773
Female-55-64 years,6301
Female-45-54 years,4399
Female-20-44 years,9927
Female-Less than 20 years,2837
"American Indian or Alaska Native, non-Hispanic",326
"Black or African American, non-Hispanic",1294
"Asian or Pacific Islander, non-Hispanic",1318
Unknown,9236
Other Race,10478
Hispanic or Latino,16758
"White, non-Hispanic",29434
