Category,Arizona
Total_doses_administered,7314557
Total_people_complete,3531962
Total_doses_ordered,5327230
total_pouluation,7189020
Total_people_one_dose,4016042
Male-65 years and older,522336
Male-55-64 years,301632
Male-45-54 years,264004
Male-20-44 years,627288
Male-Less than 20 years,165768
Female-65 years and older,643929
Female-55-64 years,346906
Female-45-54 years,288872
Female-20-44 years,661843
Female-Less than 20 years,173963
"Black or African American, non-Hispanic",110047
"American Indian or Alaska Native, non-Hispanic",118922
"Asian or Pacific Islander, non-Hispanic",150448
Unknown,431592
Other Race,676491
Hispanic or Latino,681852
"White, non-Hispanic",1846690
