Category,Yavapai
Total_doses_administered,192506
Total_people_one_dose,110397
Total_people_complete,92396
Total_doses_ordered,169890
total_pouluation,232386
Male-65 years and older,24139
Male-55-64 years,8619
Male-45-54 years,5042
Male-20-44 years,9850
Male-Less than 20 years,2086
Female-65 years and older,30137
Female-55-64 years,11010
Female-45-54 years,5876
Female-20-44 years,10002
Female-Less than 20 years,2324
"Black or African American, non-Hispanic",598
"American Indian or Alaska Native, non-Hispanic",1112
"Asian or Pacific Islander, non-Hispanic",1448
Hispanic or Latino,6993
Other Race,16958
Unknown,27503
"White, non-Hispanic",55785
