Category,Pima
Total_doses_administered,960805
Total_people_one_dose,540321
Total_people_complete,478469
Total_doses_ordered,620942
total_pouluation,1044675
Male-65 years and older,73455
Male-55-64 years,37199
Male-45-54 years,32330
Male-20-44 years,79800
Male-Less than 20 years,21628
Female-65 years and older,96731
Female-55-64 years,45829
Female-45-54 years,37958
Female-20-44 years,91554
Female-Less than 20 years,22885
"Black or African American, non-Hispanic",10593
"American Indian or Alaska Native, non-Hispanic",11365
"Asian or Pacific Islander, non-Hispanic",13621
Other Race,68670
Unknown,84215
Hispanic or Latino,128797
"White, non-Hispanic",223060
