Category,Graham
Total_doses_administered,22156
Total_people_one_dose,12459
Total_people_complete,10889
Total_doses_ordered,21150
total_pouluation,38476
Male-65 years and older,1675
Male-55-64 years,1013
Male-45-54 years,904
Male-20-44 years,2114
Male-Less than 20 years,436
Female-65 years and older,2112
Female-55-64 years,1166
Female-45-54 years,815
Female-20-44 years,1720
Female-Less than 20 years,493
"Asian or Pacific Islander, non-Hispanic",64
"Black or African American, non-Hispanic",74
Other Race,948
"American Indian or Alaska Native, non-Hispanic",1056
Hispanic or Latino,2049
Unknown,3955
"White, non-Hispanic",4313
