Category,Apache
Total_doses_administered,33348
Total_people_one_dose,18737
Total_people_complete,12324
Total_doses_ordered,16700
total_pouluation,71808
Male-65 years and older,1959
Male-55-64 years,1304
Male-45-54 years,1030
Male-20-44 years,2502
Male-Less than 20 years,2512
Female-65 years and older,2066
Female-55-64 years,1435
Female-45-54 years,1022
Female-20-44 years,2300
Female-Less than 20 years,2597
"Asian or Pacific Islander, non-Hispanic",168
"Black or African American, non-Hispanic",287
Unknown,1008
Other Race,1264
Hispanic or Latino,1863
"White, non-Hispanic",3263
"American Indian or Alaska Native, non-Hispanic",10884
