Category,Gila
Total_doses_administered,53720
Total_people_one_dose,29587
Total_people_complete,26117
Total_doses_ordered,37770
total_pouluation,55159
Male-65 years and older,5927
Male-55-64 years,2663
Male-45-54 years,1644
Male-20-44 years,3258
Male-Less than 20 years,772
Female-65 years and older,6283
Female-55-64 years,2958
Female-45-54 years,1732
Female-20-44 years,3374
Female-Less than 20 years,914
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1359
Other Race,4913
Unknown,5458
"American Indian or Alaska Native, non-Hispanic",5985
"White, non-Hispanic",11512
