Category,Maricopa
Total_doses_administered,6005231
Total_people_one_dose,2758476
Total_people_complete,2355287
total_pouluation,2758476
Male-65 years and older,293989
Male-55-64 years,193935
Male-45-54 years,188613
Male-20-44 years,455634
Male-Less than 20 years,166431
Female-65 years and older,367449
Female-55-64 years,217929
Female-45-54 years,204146
Female-20-44 years,487447
Female-Less than 20 years,168590
"American Indian or Alaska Native, non-Hispanic",54229
"Black or African American, non-Hispanic",108634
"Asian or Pacific Islander, non-Hispanic",140957
Unknown,185942
Other Race,439082
Hispanic or Latino,477118
"White, non-Hispanic",1352514
