Category,Coconino
Total_doses_administered,219415
Total_people_one_dose,98245
Total_people_complete,83369
total_pouluation,98245
Male-65 years and older,9650
Male-55-64 years,6509
Male-45-54 years,5952
Male-20-44 years,17795
Male-Less than 20 years,6731
Female-65 years and older,10850
Female-55-64 years,7281
Female-45-54 years,6007
Female-20-44 years,20223
Female-Less than 20 years,6969
"Black or African American, non-Hispanic",835
"Asian or Pacific Islander, non-Hispanic",1791
Hispanic or Latino,7749
Other Race,8950
Unknown,12314
"American Indian or Alaska Native, non-Hispanic",23600
"White, non-Hispanic",43006
