Category,La Paz
Total_doses_administered,18967
Total_people_one_dose,9292
Total_people_complete,7627
total_pouluation,9292
Male-65 years and older,2515
Male-55-64 years,653
Male-45-54 years,336
Male-20-44 years,702
Male-Less than 20 years,396
Female-65 years and older,2502
Female-55-64 years,767
Female-45-54 years,386
Female-20-44 years,628
Female-Less than 20 years,388
"Black or African American, non-Hispanic",43
"Asian or Pacific Islander, non-Hispanic",94
"American Indian or Alaska Native, non-Hispanic",556
Other Race,1217
Hispanic or Latino,1390
Unknown,1918
"White, non-Hispanic",4074
