Category,Greenlee
Total_doses_administered,10017
Total_people_one_dose,4478
Total_people_complete,3876
total_pouluation,4478
Male-65 years and older,519
Male-55-64 years,383
Male-45-54 years,334
Male-20-44 years,806
Male-Less than 20 years,237
Female-65 years and older,522
Female-55-64 years,319
Female-45-54 years,331
Female-20-44 years,776
Female-Less than 20 years,249
"Asian or Pacific Islander, non-Hispanic",49
"Black or African American, non-Hispanic",53
Other Race,96
"American Indian or Alaska Native, non-Hispanic",127
Unknown,300
"White, non-Hispanic",1822
Hispanic or Latino,2031
