Category,Arizona
Total_doses_administered,10409636
Total_people_complete,4032818
total_pouluation,7189020
Total_people_one_dose,4871379
Male-65 years and older,587710
Male-55-64 years,341046
Male-45-54 years,308231
Male-20-44 years,772726
Male-Less than 20 years,297354
Female-65 years and older,713998
Female-55-64 years,387670
Female-45-54 years,331844
Female-20-44 years,808204
Female-Less than 20 years,302711
"Black or African American, non-Hispanic",149304
"Asian or Pacific Islander, non-Hispanic",187401
"American Indian or Alaska Native, non-Hispanic",212265
Unknown,438806
Other Race,688271
Hispanic or Latino,931967
"White, non-Hispanic",2263365
