Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,10409636,66494,219415,178717,47855,10017,59445,18967,6005231,197014,107490,554993,1695580,122879,262043,336853
Total_people_complete,4032818,23372,83369,69232,19100,3876,23428,7627,2355287,78225,41713,225280,641736,46076,101459,130205
total_pouluation,7189020,31235,98245,86085,22121,4478,27063,9292,2758476,93643,51645,263177,765151,62169,121399,166570
Total_people_one_dose,4871379,31235,98245,86085,22121,4478,27063,9292,2758476,93643,51645,263177,765151,62169,121399,166570
Male-65 years and older,587710,2902,9650,11642,2453,519,5976,2515,293989,21693,7577,38215,94596,4929,26723,17780
Male-55-64 years,341046,2111,6509,5758,1622,383,2265,653,193935,8502,3698,18947,49813,3493,9431,10996
Male-45-54 years,308231,1706,5952,4581,1479,334,1290,336,188613,4438,2830,17340,43253,3670,5204,9515
Male-20-44 years,772726,4121,17795,12259,3722,806,2532,702,455634,7900,6137,39949,116703,9671,10722,29300
Male-Less than 20 years,297354,4408,6731,6398,1395,237,880,396,166431,2010,4820,14240,49903,8003,3189,13837
Female-65 years and older,713998,3484,10850,13617,2958,522,6354,2502,367449,23742,8546,43879,121653,5974,32451,20355
Female-55-64 years,387670,2277,7281,6845,1752,319,2660,767,217929,9829,4219,21394,59510,3902,11908,11827
Female-45-54 years,331844,1692,6007,5148,1450,331,1425,386,204146,4998,2838,17705,48907,4039,6192,10481
Female-20-44 years,808204,4011,20223,13013,3768,776,2696,628,487447,8129,6033,36792,128441,10232,10955,27618
Female-Less than 20 years,302711,4513,6969,6721,1510,249,928,388,168590,2222,4907,13978,50884,8163,3479,14209
"Black or African American, non-Hispanic",149304,62,835,1666,97,53,97,43,108634,660,215,9762,17658,61,609,874
"Asian or Pacific Islander, non-Hispanic",187401,139,1791,1544,90,49,213,94,140957,1445,385,5454,23167,191,1520,1277
"American Indian or Alaska Native, non-Hispanic",212265,24303,23600,379,5702,127,2908,556,54229,785,22863,10514,16125,58,1492,1214
Unknown,438806,1186,12314,10434,4157,300,4574,1918,185942,11668,2487,30448,66251,5073,18432,30300
Other Race,688271,1186,8950,12302,1328,96,4358,1217,439082,14763,6458,32114,94555,3667,17826,20038
Hispanic or Latino,931967,615,7749,25574,4018,2031,1532,1390,477118,7712,2700,43400,192607,45157,8676,75896
"White, non-Hispanic",2263365,3744,43006,34186,6729,1822,13381,4074,1352514,56610,16537,131485,354788,7962,72844,36971
