Category,Santa Cruz
Total_doses_administered,122879
Total_people_one_dose,62169
Total_people_complete,46076
total_pouluation,62169
Male-65 years and older,4929
Male-55-64 years,3493
Male-45-54 years,3670
Male-20-44 years,9671
Male-Less than 20 years,8003
Female-65 years and older,5974
Female-55-64 years,3902
Female-45-54 years,4039
Female-20-44 years,10232
Female-Less than 20 years,8163
"American Indian or Alaska Native, non-Hispanic",58
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",191
Other Race,3667
Unknown,5073
"White, non-Hispanic",7962
Hispanic or Latino,45157
