Category,Mohave
Total_doses_administered,197014
Total_people_one_dose,93643
Total_people_complete,78225
total_pouluation,93643
Male-65 years and older,21693
Male-55-64 years,8502
Male-45-54 years,4438
Male-20-44 years,7900
Male-Less than 20 years,2010
Female-65 years and older,23742
Female-55-64 years,9829
Female-45-54 years,4998
Female-20-44 years,8129
Female-Less than 20 years,2222
"Black or African American, non-Hispanic",660
"American Indian or Alaska Native, non-Hispanic",785
"Asian or Pacific Islander, non-Hispanic",1445
Hispanic or Latino,7712
Unknown,11668
Other Race,14763
"White, non-Hispanic",56610
