Category,Navajo
Total_doses_administered,107490
Total_people_one_dose,51645
Total_people_complete,41713
total_pouluation,51645
Male-65 years and older,7577
Male-55-64 years,3698
Male-45-54 years,2830
Male-20-44 years,6137
Male-Less than 20 years,4820
Female-65 years and older,8546
Female-55-64 years,4219
Female-45-54 years,2838
Female-20-44 years,6033
Female-Less than 20 years,4907
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",385
Unknown,2487
Hispanic or Latino,2700
Other Race,6458
"White, non-Hispanic",16537
"American Indian or Alaska Native, non-Hispanic",22863
