Category,Greenlee
Total_doses_administered,8127
Total_people_one_dose,4601
Total_people_complete,4061
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,526
Male-55-64 years,582
Male-45-54 years,472
Male-20-44 years,957
Male-Less than 20 years,43
Female-65 years and older,512
Female-55-64 years,403
Female-45-54 years,358
Female-20-44 years,705
Female-Less than 20 years,41
"Black or African American, non-Hispanic",0.0091284503368833
"Asian or Pacific Islander, non-Hispanic",0.0104325146707238
"American Indian or Alaska Native, non-Hispanic",0.0171701803955662
Other Race,0.02782003912193
Unknown,0.0771571397522278
"White, non-Hispanic",0.4140404259943491
Hispanic or Latino,0.4442512497283199
