,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5363835,1518734,16293,90709,124780,45145,17036,7934,15499,2004336,117469,44799,722823,225303,48259,161362,154221
Total_people_one_dose,3063203,833840,9283,52635,68483,25129,9557,4509,8681,1198465,69436,26330,414850,132469,27766,93556,88214
Total_people_complete,2513523,,,,,,,,,,,,,,,,
Total_doses_ordered,5121400,,,,,,,,,,,,,,,,
65 years and older,586328,,,,,,,,,,,,,,,,
55-64 years,300301,,,,,,,,,,,,,,,,
45-54 years,226296,,,,,,,,,,,,,,,,
20-44 years,479130,,,,,,,,,,,,,,,,
Less than 20 years,55873,,,,,,,,,,,,,,,,
65 years and older,132469,,,,,,,,,,,,,,,,
55-64 years,252187,,,,,,,,,,,,,,,,
45-54 years,198822,,,,,,,,,,,,,,,,
20-44 years,433975,,,,,,,,,,,,,,,,
Less than 20 years,48371,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",70565,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",73799,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",114143,,,,,,,,,,,,,,,,
Hispanic or Latino,402941,,,,,,,,,,,,,,,,
Unknown,413733,,,,,,,,,,,,,,,,
Other Race,520047,,,,,,,,,,,,,,,,
"White, non-Hispanic",1467975,,,,,,,,,,,,,,,,
