,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4539871,1305497,15307,77536,113039,37865,13888,7746,13686,1662936,96087,40647,613499,190448,38085,142785,125228
Total_people_one_dose,2753064,781677,8882,48399,65083,22221,8433,4409,8167,1034767,61751,24710,377894,117807,24225,85805,78834
Total_people_complete,1955889,,,,,,,,,,,,,,,,
Total_doses_ordered,4335320,,,,,,,,,,,,,,,,
65 years and older,563272,,,,,,,,,,,,,,,,
55-64 years,277561,,,,,,,,,,,,,,,,
45-54 years,198246,,,,,,,,,,,,,,,,
20-44 years,413717,,,,,,,,,,,,,,,,
Less than 20 years,43264,,,,,,,,,,,,,,,,
65 years and older,24225,,,,,,,,,,,,,,,,
55-64 years,228893,,,,,,,,,,,,,,,,
45-54 years,169059,,,,,,,,,,,,,,,,
20-44 years,360412,,,,,,,,,,,,,,,,
Less than 20 years,36852,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",59861,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",65644,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",99396,,,,,,,,,,,,,,,,
Hispanic or Latino,339158,,,,,,,,,,,,,,,,
Unknown,377339,,,,,,,,,,,,,,,,
Other Race,475550,,,,,,,,,,,,,,,,
"White, non-Hispanic",1336116,,,,,,,,,,,,,,,,
