Category,Coconino
Total_doses_administered,187197
Total_people_one_dose,91464
Total_people_complete,80518
total_pouluation,91464
Male-65 years and older,9210
Male-55-64 years,6196
Male-45-54 years,5663
Male-20-44 years,16695
Male-Less than 20 years,5470
Female-65 years and older,10402
Female-55-64 years,7011
Female-45-54 years,5776
Female-20-44 years,19019
Female-Less than 20 years,5760
"Black or African American, non-Hispanic",753
"Asian or Pacific Islander, non-Hispanic",1527
Hispanic or Latino,6796
Other Race,8408
Unknown,12923
"American Indian or Alaska Native, non-Hispanic",21591
"White, non-Hispanic",39466
