Category,Navajo
Total_doses_administered,90766
Total_people_one_dose,46431
Total_people_complete,38984
total_pouluation,46431
Male-65 years and older,7107
Male-55-64 years,3458
Male-45-54 years,2566
Male-20-44 years,5507
Male-Less than 20 years,3881
Female-65 years and older,7988
Female-55-64 years,3976
Female-45-54 years,2576
Female-20-44 years,5359
Female-Less than 20 years,3978
"Black or African American, non-Hispanic",193
"Asian or Pacific Islander, non-Hispanic",338
Unknown,2126
Hispanic or Latino,2357
Other Race,6125
"White, non-Hispanic",15609
"American Indian or Alaska Native, non-Hispanic",19683
