Category,Gila
Total_doses_administered,52066
Total_people_one_dose,25419
Total_people_complete,22599
total_pouluation,25419
Male-65 years and older,5697
Male-55-64 years,2196
Male-45-54 years,1236
Male-20-44 years,2338
Male-Less than 20 years,653
Female-65 years and older,6115
Female-55-64 years,2565
Female-45-54 years,1378
Female-20-44 years,2473
Female-Less than 20 years,710
"Black or African American, non-Hispanic",87
"Asian or Pacific Islander, non-Hispanic",198
Hispanic or Latino,1380
"American Indian or Alaska Native, non-Hispanic",2586
Other Race,4001
Unknown,4558
"White, non-Hispanic",12609
