Category,Mohave
Total_doses_administered,170644
Total_people_one_dose,87102
Total_people_complete,74667
total_pouluation,87102
Male-65 years and older,20153
Male-55-64 years,7986
Male-45-54 years,4148
Male-20-44 years,7222
Male-Less than 20 years,1644
Female-65 years and older,22503
Female-55-64 years,9356
Female-45-54 years,4707
Female-20-44 years,7353
Female-Less than 20 years,1855
"Black or African American, non-Hispanic",582
"American Indian or Alaska Native, non-Hispanic",691
"Asian or Pacific Islander, non-Hispanic",1294
Hispanic or Latino,6799
Unknown,11404
Other Race,14032
"White, non-Hispanic",52300
