Category,Arizona
Total_doses_administered,8897152
Total_people_complete,419871
total_pouluation,7189020
Total_people_one_dose,4456916
Male-65 years and older,549984
Male-55-64 years,319507
Male-45-54 years,288643
Male-20-44 years,713518
Male-Less than 20 years,232427
Female-65 years and older,671250
Female-55-64 years,364316
Female-45-54 years,311766
Female-20-44 years,745700
Female-Less than 20 years,240080
"Black or African American, non-Hispanic",134013
"Asian or Pacific Islander, non-Hispanic",169141
"American Indian or Alaska Native, non-Hispanic",183047
Unknown,407721
Other Race,647487
Hispanic or Latino,811032
"White, non-Hispanic",2104475
