Category,Cochise
Total_doses_administered,147505
Total_people_one_dose,76375
Total_people_complete,65142
total_pouluation,76375
Male-65 years and older,10851
Male-55-64 years,5279
Male-45-54 years,4120
Male-20-44 years,11127
Male-Less than 20 years,4562
Female-65 years and older,12820
Female-55-64 years,6324
Female-45-54 years,4642
Female-20-44 years,11722
Female-Less than 20 years,4829
"American Indian or Alaska Native, non-Hispanic",340
"Asian or Pacific Islander, non-Hispanic",1406
"Black or African American, non-Hispanic",1504
Unknown,8883
Other Race,11513
Hispanic or Latino,20578
"White, non-Hispanic",32151
