Category,Maricopa
Total_doses_administered,5190783
Total_people_one_dose,2563217
Total_people_complete,2267918
total_pouluation,2563217
Male-65 years and older,280113
Male-55-64 years,184698
Male-45-54 years,178968
Male-20-44 years,426286
Male-Less than 20 years,132658
Female-65 years and older,350422
Female-55-64 years,208189
Female-45-54 years,194441
Female-20-44 years,456848
Female-Less than 20 years,136160
"American Indian or Alaska Native, non-Hispanic",49528
"Black or African American, non-Hispanic",98239
"Asian or Pacific Islander, non-Hispanic",128519
Unknown,170043
Other Race,419001
Hispanic or Latino,422811
"White, non-Hispanic",1275076
